ffmpeg version 8.1-full_build-www.gyan.dev Copyright (c) 2000-2026 the FFmpeg developers
  built with gcc 15.2.0 (Rev11, Built by MSYS2 project)
  configuration: --enable-gpl --enable-version3 --enable-static --disable-w32threads --disable-autodetect --enable-cairo --enable-fontconfig --enable-iconv --enable-gnutls --enable-lcms2 --enable-libxml2 --enable-gmp --enable-bzlib --enable-lzma --enable-libsnappy --enable-zlib --enable-librist --enable-libsrt --enable-libssh --enable-libzmq --enable-avisynth --enable-libbluray --enable-libcaca --enable-libdvdnav --enable-libdvdread --enable-sdl2 --enable-libaribb24 --enable-libaribcaption --enable-libdav1d --enable-libdavs2 --enable-libopenjpeg --enable-libquirc --enable-libuavs3d --enable-libxevd --enable-libzvbi --enable-liboapv --enable-libqrencode --enable-librav1e --enable-libsvtav1 --enable-libvvenc --enable-libwebp --enable-libx264 --enable-libx265 --enable-libxavs2 --enable-libxeve --enable-libxvid --enable-libaom --enable-libjxl --enable-libsvtjpegxs --enable-libvpx --enable-mediafoundation --enable-libass --enable-frei0r --enable-libfreetype --enable-libfribidi --enable-libharfbuzz --enable-liblensfun --enable-libvidstab --enable-libvmaf --enable-libzimg --enable-amf --enable-cuda-llvm --enable-cuvid --enable-dxva2 --enable-d3d11va --enable-d3d12va --enable-ffnvcodec --enable-libvpl --enable-nvdec --enable-nvenc --enable-vaapi --enable-libshaderc --enable-vulkan --enable-libplacebo --enable-opencl --enable-libcdio --enable-openal --enable-libgme --enable-libmodplug --enable-libopenmpt --enable-libopencore-amrwb --enable-libmp3lame --enable-libshine --enable-libtheora --enable-libtwolame --enable-libvo-amrwbenc --enable-libcodec2 --enable-libilbc --enable-libgsm --enable-liblc3 --enable-libopencore-amrnb --enable-libopus --enable-libspeex --enable-libvorbis --enable-ladspa --enable-libbs2b --enable-libflite --enable-libmysofa --enable-librubberband --enable-libsoxr --enable-chromaprint --enable-whisper
  libavutil      60. 26.100 / 60. 26.100
  libavcodec     62. 28.100 / 62. 28.100
  libavformat    62. 12.100 / 62. 12.100
  libavdevice    62.  3.100 / 62.  3.100
  libavfilter    11. 14.100 / 11. 14.100
  libswscale      9.  5.100 /  9.  5.100
  libswresample   6.  3.100 /  6.  3.100
Input #0, dshow, from 'video=Integrated Webcam':
  Duration: N/A, start: 105498.063939, bitrate: N/A
  Stream #0:0: Video: mjpeg (Baseline) (MJPG / 0x47504A4D), yuvj422p(pc, bt470bg/unknown/unknown), 1280x720, 30 fps, 30 tbr, 10000k tbn, start 105498.063939
Input #1, lavfi, from 'anullsrc=r=44100:cl=stereo':
  Duration: N/A, start: 0.000000, bitrate: 705 kb/s
  Stream #1:0: Audio: pcm_u8, 44100 Hz, stereo, u8, 705 kb/s
Stream mapping:
  Stream #0:0 -> #0:0 (mjpeg (native) -> h264 (libx264))
  Stream #1:0 -> #0:1 (pcm_u8 (native) -> aac (native))
Press [q] to stop, [?] for help
[swscaler @ 00000259a1de1100] deprecated pixel format used, make sure you did set range correctly
[libx264 @ 000002599c1e2fc0] using cpu capabilities: MMX2 SSE2Fast SSSE3 SSE4.2 AVX FMA3 BMI2 AVX2 AVX512
[libx264 @ 000002599c1e2fc0] profile Main, level 4.0, 4:2:0, 8-bit
[libx264 @ 000002599c1e2fc0] 264 - core 165 r3223 0480cb0 - H.264/MPEG-4 AVC codec - Copyleft 2003-2025 - http://www.videolan.org/x264.html - options: cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0x111 me=hex subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=8 lookahead_threads=8 sliced_threads=1 slices=8 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=1 keyint=60 keyint_min=30 scenecut=0 intra_refresh=0 rc_lookahead=0 rc=cbr mbtree=0 bitrate=2500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2500 vbv_bufsize=5000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
Output #0, flv, to 'rtmp://a.rtmp.youtube.com/live2/3z7u-kam5-60vu-10x3-f0m6':
  Metadata:
    encoder         : Lavf62.12.100
  Stream #0:0: Video: h264 ([7][0][0][0] / 0x0007), yuv420p(pc, bt470bg/unknown/unknown, progressive), 1280x720, q=2-31, 2500 kb/s, 30 fps, 1k tbn
    Metadata:
      encoder         : Lavc62.28.100 libx264
    Side data:
      CPB properties: bitrate max/min/avg: 2500000/0/2500000 buffer size: 5000000 vbv_delay: N/A
  Stream #0:1: Audio: aac (LC) ([10][0][0][0] / 0x000A), 44100 Hz, stereo, fltp, 128 kb/s
    Metadata:
      encoder         : Lavc62.28.100 aac
frame=   23 fps=0.0 q=29.0 size=     213KiB time=00:00:00.76 bitrate=2278.4kbits/s speed=1.51x elapsed=0:00:00.50    
frame=   38 fps= 37 q=29.0 size=     356KiB time=00:00:01.26 bitrate=2304.8kbits/s speed=1.24x elapsed=0:00:01.02    
frame=   53 fps= 34 q=29.0 size=     510KiB time=00:00:01.76 bitrate=2364.9kbits/s speed=1.15x elapsed=0:00:01.53    
frame=   67 fps= 33 q=29.0 size=     682KiB time=00:00:02.23 bitrate=2502.1kbits/s speed=1.09x elapsed=0:00:02.05    
frame=   84 fps= 33 q=29.0 size=     848KiB time=00:00:02.83 bitrate=2451.7kbits/s speed= 1.1x elapsed=0:00:02.57    
frame=   99 fps= 32 q=29.0 size=     998KiB time=00:00:03.29 bitrate=2478.4kbits/s speed=1.07x elapsed=0:00:03.09    
frame=  114 fps= 32 q=29.0 size=    1166KiB time=00:00:03.83 bitrate=2491.5kbits/s speed=1.06x elapsed=0:00:03.60    
frame=  130 fps= 32 q=29.0 size=    1346KiB time=00:00:04.36 bitrate=2524.7kbits/s speed=1.06x elapsed=0:00:04.12    
frame=  145 fps= 31 q=29.0 size=    1493KiB time=00:00:04.86 bitrate=2513.7kbits/s speed=1.05x elapsed=0:00:04.64    
frame=  157 fps= 30 q=29.0 size=    1608KiB time=00:00:05.29 bitrate=2485.9kbits/s speed=1.03x elapsed=0:00:05.16    
frame=  175 fps= 31 q=29.0 size=    1800KiB time=00:00:05.89 bitrate=2499.6kbits/s speed=1.04x elapsed=0:00:05.67    
frame=  190 fps= 31 q=29.0 size=    1991KiB time=00:00:06.39 bitrate=2548.0kbits/s speed=1.03x elapsed=0:00:06.18    
frame=  207 fps= 31 q=29.0 size=    2137KiB time=00:00:06.96 bitrate=2513.0kbits/s speed=1.04x elapsed=0:00:06.70    
frame=  216 fps= 30 q=29.0 size=    2227KiB time=00:00:07.26 bitrate=2510.5kbits/s speed=1.01x elapsed=0:00:07.22    
frame=  237 fps= 31 q=29.0 size=    2436KiB time=00:00:07.96 bitrate=2505.3kbits/s speed=1.03x elapsed=0:00:07.72    
frame=  249 fps= 30 q=29.0 size=    2588KiB time=00:00:08.36 bitrate=2533.6kbits/s speed=1.02x elapsed=0:00:08.24    
frame=  267 fps= 30 q=29.0 size=    2761KiB time=00:00:08.96 bitrate=2522.3kbits/s speed=1.02x elapsed=0:00:08.75    
frame=  282 fps= 30 q=29.0 size=    2912KiB time=00:00:09.46 bitrate=2519.7kbits/s speed=1.02x elapsed=0:00:09.27    
frame=  299 fps= 31 q=29.0 size=    3073KiB time=00:00:10.03 bitrate=2508.7kbits/s speed=1.02x elapsed=0:00:09.78    
frame=  314 fps= 30 q=29.0 size=    3256KiB time=00:00:10.53 bitrate=2532.0kbits/s speed=1.02x elapsed=0:00:10.30    
frame=  329 fps= 30 q=29.0 size=    3410KiB time=00:00:11.03 bitrate=2532.2kbits/s speed=1.02x elapsed=0:00:10.81    
frame=  345 fps= 30 q=29.0 size=    3563KiB time=00:00:11.59 bitrate=2516.0kbits/s speed=1.02x elapsed=0:00:11.33    
frame=  360 fps= 30 q=29.0 size=    3708KiB time=00:00:12.06 bitrate=2517.0kbits/s speed=1.02x elapsed=0:00:11.86    
frame=  375 fps= 30 q=29.0 size=    3887KiB time=00:00:12.56 bitrate=2533.9kbits/s speed=1.02x elapsed=0:00:12.37    
frame=  391 fps= 30 q=29.0 size=    4051KiB time=00:00:13.13 bitrate=2527.1kbits/s speed=1.02x elapsed=0:00:12.89    
frame=  407 fps= 30 q=29.0 size=    4217KiB time=00:00:13.63 bitrate=2533.8kbits/s speed=1.02x elapsed=0:00:13.40    
frame=  422 fps= 30 q=29.0 size=    4401KiB time=00:00:14.16 bitrate=2544.7kbits/s speed=1.02x elapsed=0:00:13.92    
frame=  434 fps= 30 q=29.0 size=    4527KiB time=00:00:14.56 bitrate=2545.6kbits/s speed=1.01x elapsed=0:00:14.44    
frame=  446 fps= 30 q=29.0 size=    4654KiB time=00:00:15.13 bitrate=2519.1kbits/s speed=1.01x elapsed=0:00:14.95    
frame=  463 fps= 30 q=29.0 size=    4805KiB time=00:00:15.69 bitrate=2507.3kbits/s speed=1.01x elapsed=0:00:15.47    
frame=  475 fps= 30 q=29.0 size=    4925KiB time=00:00:16.09 bitrate=2506.1kbits/s speed=1.01x elapsed=0:00:16.00    
frame=  494 fps= 30 q=29.0 size=    5134KiB time=00:00:16.76 bitrate=2508.2kbits/s speed=1.01x elapsed=0:00:16.52    
frame=  509 fps= 30 q=29.0 size=    5280KiB time=00:00:17.26 bitrate=2505.2kbits/s speed=1.01x elapsed=0:00:17.03    
frame=  525 fps= 30 q=29.0 size=    5419KiB time=00:00:17.79 bitrate=2494.0kbits/s speed=1.01x elapsed=0:00:17.55    
frame=  541 fps= 30 q=26.0 size=    5570KiB time=00:00:18.33 bitrate=2488.8kbits/s speed=1.01x elapsed=0:00:18.07    
frame=  556 fps= 30 q=29.0 size=    5744KiB time=00:00:18.83 bitrate=2498.5kbits/s speed=1.01x elapsed=0:00:18.58    
frame=  571 fps= 30 q=29.0 size=    5892KiB time=00:00:19.33 bitrate=2496.4kbits/s speed=1.01x elapsed=0:00:19.10    
frame=  586 fps= 30 q=29.0 size=    6026KiB time=00:00:19.83 bitrate=2489.0kbits/s speed=1.01x elapsed=0:00:19.62    
frame=  602 fps= 30 q=29.0 size=    6226KiB time=00:00:20.39 bitrate=2500.0kbits/s speed=1.01x elapsed=0:00:20.13    
frame=  613 fps= 30 q=29.0 size=    6333KiB time=00:00:20.76 bitrate=2498.4kbits/s speed=1.01x elapsed=0:00:20.65    
frame=  628 fps= 30 q=29.0 size=    6468KiB time=00:00:21.39 bitrate=2475.8kbits/s speed=1.01x elapsed=0:00:21.17    
frame=  642 fps= 30 q=29.0 size=    6602KiB time=00:00:21.86 bitrate=2473.3kbits/s speed=1.01x elapsed=0:00:21.69    
frame=  659 fps= 30 q=29.0 size=    6769KiB time=00:00:22.43 bitrate=2471.7kbits/s speed=1.01x elapsed=0:00:22.20    
frame=  674 fps= 30 q=29.0 size=    6960KiB time=00:00:22.96 bitrate=2482.5kbits/s speed=1.01x elapsed=0:00:22.72    
frame=  690 fps= 30 q=29.0 size=    7106KiB time=00:00:23.49 bitrate=2477.3kbits/s speed=1.01x elapsed=0:00:23.23    
frame=  705 fps= 30 q=29.0 size=    7264KiB time=00:00:23.99 bitrate=2479.4kbits/s speed=1.01x elapsed=0:00:23.74    
frame=  720 fps= 30 q=29.0 size=    7403KiB time=00:00:24.49 bitrate=2475.3kbits/s speed=1.01x elapsed=0:00:24.25    
frame=  736 fps= 30 q=29.0 size=    7593KiB time=00:00:25.03 bitrate=2484.9kbits/s speed=1.01x elapsed=0:00:24.77    
frame=  751 fps= 30 q=29.0 size=    7750KiB time=00:00:25.53 bitrate=2486.3kbits/s speed=1.01x elapsed=0:00:25.28    
frame=  765 fps= 30 q=29.0 size=    7877KiB time=00:00:25.99 bitrate=2481.9kbits/s speed=1.01x elapsed=0:00:25.80    
frame=  782 fps= 30 q=29.0 size=    8093KiB time=00:00:26.56 bitrate=2495.6kbits/s speed=1.01x elapsed=0:00:26.32    
frame=  797 fps= 30 q=29.0 size=    8274KiB time=00:00:27.06 bitrate=2504.2kbits/s speed=1.01x elapsed=0:00:26.84    
frame=  813 fps= 30 q=29.0 size=    8445KiB time=00:00:27.59 bitrate=2506.6kbits/s speed=1.01x elapsed=0:00:27.35    
frame=  828 fps= 30 q=29.0 size=    8605KiB time=00:00:28.09 bitrate=2508.8kbits/s speed=1.01x elapsed=0:00:27.87    
frame=  843 fps= 30 q=29.0 size=    8795KiB time=00:00:28.59 bitrate=2519.1kbits/s speed=1.01x elapsed=0:00:28.39    
frame=  858 fps= 30 q=29.0 size=    8942KiB time=00:00:29.09 bitrate=2517.4kbits/s speed=1.01x elapsed=0:00:28.92    
frame=  874 fps= 30 q=29.0 size=    9110KiB time=00:00:29.63 bitrate=2518.3kbits/s speed=1.01x elapsed=0:00:29.44    
frame=  891 fps= 30 q=29.0 size=    9283KiB time=00:00:30.19 bitrate=2518.1kbits/s speed=1.01x elapsed=0:00:29.99    
frame=  904 fps= 30 q=29.0 size=    9452KiB time=00:00:30.66 bitrate=2525.0kbits/s speed=1.01x elapsed=0:00:30.50    
frame=  922 fps= 30 q=29.0 size=    9608KiB time=00:00:31.26 bitrate=2517.3kbits/s speed=1.01x elapsed=0:00:31.02    
frame=  937 fps= 30 q=29.0 size=    9760KiB time=00:00:31.76 bitrate=2517.0kbits/s speed=1.01x elapsed=0:00:31.54    
frame=  953 fps= 30 q=29.0 size=    9901KiB time=00:00:32.29 bitrate=2511.1kbits/s speed=1.01x elapsed=0:00:32.06    
frame=  969 fps= 30 q=29.0 size=   10103KiB time=00:00:32.83 bitrate=2520.8kbits/s speed=1.01x elapsed=0:00:32.57    
frame=  983 fps= 30 q=29.0 size=   10229KiB time=00:00:33.29 bitrate=2516.5kbits/s speed=1.01x elapsed=0:00:33.08    
frame=  990 fps= 29 q=29.0 size=   10304KiB time=00:00:33.53 bitrate=2517.3kbits/s speed=0.998x elapsed=0:00:33.60    
frame= 1010 fps= 30 q=29.0 size=   10508KiB time=00:00:34.36 bitrate=2504.9kbits/s speed=1.01x elapsed=0:00:34.12    
frame= 1025 fps= 30 q=29.0 size=   10692KiB time=00:00:34.83 bitrate=2514.6kbits/s speed=   1x elapsed=0:00:34.66    
frame= 1041 fps= 30 q=29.0 size=   10846KiB time=00:00:35.39 bitrate=2509.9kbits/s speed=1.01x elapsed=0:00:35.18    
frame= 1058 fps= 30 q=29.0 size=   11011KiB time=00:00:35.96 bitrate=2507.8kbits/s speed=1.01x elapsed=0:00:35.70    
frame= 1071 fps= 30 q=29.0 size=   11138KiB time=00:00:36.39 bitrate=2506.7kbits/s speed=1.01x elapsed=0:00:36.20    
frame= 1087 fps= 30 q=29.0 size=   11331KiB time=00:00:36.93 bitrate=2513.4kbits/s speed=1.01x elapsed=0:00:36.72    
frame= 1104 fps= 30 q=29.0 size=   11501KiB time=00:00:37.49 bitrate=2512.3kbits/s speed=1.01x elapsed=0:00:37.25    
frame= 1117 fps= 30 q=29.0 size=   11627KiB time=00:00:37.93 bitrate=2510.9kbits/s speed=   1x elapsed=0:00:37.75    
frame= 1133 fps= 30 q=29.0 size=   11777KiB time=00:00:38.46 bitrate=2508.1kbits/s speed=1.01x elapsed=0:00:38.27    
frame= 1150 fps= 30 q=29.0 size=   11982KiB time=00:00:39.03 bitrate=2514.7kbits/s speed=1.01x elapsed=0:00:38.79    
frame= 1163 fps= 30 q=29.0 size=   12106KiB time=00:00:39.49 bitrate=2510.8kbits/s speed=   1x elapsed=0:00:39.30    
frame= 1177 fps= 30 q=29.0 size=   12237KiB time=00:00:39.96 bitrate=2508.2kbits/s speed=   1x elapsed=0:00:39.82    
frame= 1195 fps= 30 q=29.0 size=   12409KiB time=00:00:40.53 bitrate=2507.9kbits/s speed=   1x elapsed=0:00:40.34    
frame= 1211 fps= 30 q=29.0 size=   12596KiB time=00:00:41.09 bitrate=2510.7kbits/s speed=1.01x elapsed=0:00:40.85    
frame= 1227 fps= 30 q=29.0 size=   12764KiB time=00:00:41.63 bitrate=2511.5kbits/s speed=1.01x elapsed=0:00:41.37    
frame= 1236 fps= 30 q=29.0 size=   12873KiB time=00:00:41.93 bitrate=2514.8kbits/s speed=   1x elapsed=0:00:41.89    
frame= 1255 fps= 30 q=29.0 size=   13081KiB time=00:00:42.66 bitrate=2511.5kbits/s speed=1.01x elapsed=0:00:42.40    
frame= 1270 fps= 30 q=29.0 size=   13237KiB time=00:00:43.16 bitrate=2512.1kbits/s speed=1.01x elapsed=0:00:42.92    
frame= 1285 fps= 30 q=29.0 size=   13376KiB time=00:00:43.66 bitrate=2509.4kbits/s speed=1.01x elapsed=0:00:43.43    
frame= 1299 fps= 30 q=29.0 size=   13509KiB time=00:00:44.13 bitrate=2507.6kbits/s speed=   1x elapsed=0:00:43.95    
frame= 1316 fps= 30 q=29.0 size=   13684KiB time=00:00:44.69 bitrate=2507.8kbits/s speed=1.01x elapsed=0:00:44.47    
frame= 1331 fps= 30 q=29.0 size=   13862KiB time=00:00:45.19 bitrate=2512.4kbits/s speed=   1x elapsed=0:00:44.98    
frame= 1347 fps= 30 q=29.0 size=   14022KiB time=00:00:45.73 bitrate=2511.7kbits/s speed=1.01x elapsed=0:00:45.50    
frame= 1362 fps= 30 q=29.0 size=   14167KiB time=00:00:46.23 bitrate=2510.2kbits/s speed=   1x elapsed=0:00:46.01    
frame= 1378 fps= 30 q=29.0 size=   14320KiB time=00:00:46.76 bitrate=2508.4kbits/s speed=1.01x elapsed=0:00:46.52    
frame= 1390 fps= 30 q=29.0 size=   14469KiB time=00:00:47.19 bitrate=2511.2kbits/s speed=   1x elapsed=0:00:47.04    
frame= 1403 fps= 30 q=29.0 size=   14583KiB time=00:00:47.76 bitrate=2501.0kbits/s speed=   1x elapsed=0:00:47.55    
frame= 1418 fps= 29 q=29.0 size=   14738KiB time=00:00:48.29 bitrate=2499.7kbits/s speed=   1x elapsed=0:00:48.07    
frame= 1433 fps= 29 q=29.0 size=   14874KiB time=00:00:48.79 bitrate=2496.8kbits/s speed=   1x elapsed=0:00:48.59    
frame= 1450 fps= 30 q=29.0 size=   15070KiB time=00:00:49.33 bitrate=2502.5kbits/s speed=   1x elapsed=0:00:49.11    
frame= 1464 fps= 29 q=29.0 size=   15210KiB time=00:00:49.83 bitrate=2500.4kbits/s speed=   1x elapsed=0:00:49.62    
frame= 1481 fps= 30 q=29.0 size=   15376KiB time=00:00:50.39 bitrate=2499.2kbits/s speed=1.01x elapsed=0:00:50.13    
frame= 1496 fps= 30 q=29.0 size=   15523KiB time=00:00:50.89 bitrate=2498.3kbits/s speed=   1x elapsed=0:00:50.64    
frame= 1511 fps= 30 q=29.0 size=   15697KiB time=00:00:51.39 bitrate=2501.7kbits/s speed=   1x elapsed=0:00:51.16    
frame= 1524 fps= 29 q=29.0 size=   15823KiB time=00:00:51.83 bitrate=2500.8kbits/s speed=   1x elapsed=0:00:51.68    
frame= 1542 fps= 30 q=29.0 size=   15997KiB time=00:00:52.43 bitrate=2499.3kbits/s speed=   1x elapsed=0:00:52.19    
frame= 1557 fps= 30 q=29.0 size=   16145KiB time=00:00:52.93 bitrate=2498.6kbits/s speed=   1x elapsed=0:00:52.71    
frame= 1568 fps= 29 q=29.0 size=   16284KiB time=00:00:53.46 bitrate=2495.0kbits/s speed=   1x elapsed=0:00:53.23    
frame= 1583 fps= 29 q=29.0 size=   16431KiB time=00:00:53.96 bitrate=2494.1kbits/s speed=   1x elapsed=0:00:53.74    
frame= 1598 fps= 29 q=29.0 size=   16580KiB time=00:00:54.46 bitrate=2493.7kbits/s speed=   1x elapsed=0:00:54.27    
frame= 1615 fps= 29 q=29.0 size=   16749KiB time=00:00:55.03 bitrate=2493.2kbits/s speed=   1x elapsed=0:00:54.78    
